Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Label
10.152.152.11-216.58.220.99-57158-443-6,10.152.152.11,57158,216.58.220.99,443,6,24/07/15 16:09,229,1,1,0,0,0,0,0,0,0,0,0,0,0,8733.62445,229,0,229,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4366.81223,4366.81223,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1892,1047,0,20,0,0,0,0,0,0,0,0,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.220.99-57159-443-6,10.152.152.11,57159,216.58.220.99,443,6,24/07/15 16:09,407,1,1,0,0,0,0,0,0,0,0,0,0,0,4914.00491,407,0,407,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2457.00246,2457.00246,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,1047,0,20,0,0,0,0,0,0,0,0,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.220.99-57160-443-6,10.152.152.11,57160,216.58.220.99,443,6,24/07/15 16:09,431,1,1,0,0,0,0,0,0,0,0,0,0,0,4640.37123,431,0,431,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2320.18561,2320.18561,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2049,1047,0,20,0,0,0,0,0,0,0,0,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.120-49134-443-6,10.152.152.11,49134,74.125.136.120,443,6,24/07/15 16:09,359,1,1,0,0,0,0,0,0,0,0,0,0,0,5571.03064,359,0,359,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2785.51532,2785.51532,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,1047,0,20,0,0,0,0,0,0,0,0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.127-34697-19305-6,10.152.152.11,34697,173.194.65.127,19305,6,24/07/15 16:09,10778451,591,400,64530,6659,131,0,109.187817,22.2833126,498,0,16.6475,46.8337137,6604.75239,91.9427105,10887.3242,11412.4664,78158,13,10778451,18268.561,11786.1431,81171,126,10747836,26936.9323,15897.7385,78158,307,1,0,0,0,11820,8000,54.8316265,37.111084,0,498,71.8760081,56.9364699,3241.7616,1,0,0,659,991,0,0,0,0,71.9485368,109.187817,16.6475,0,0,0,0,659,6605,0,65,0,6,1382,2320,581,20,0,0,0,0,1.44E+15,3117718.13,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.127-54570-443-6,10.152.152.11,54570,173.194.65.127,443,6,24/07/15 16:10,421362,5,3,72,79,72,0,14.4,32.1993789,79,0,26.3333333,45.6106713,358.361694,18.98605,60194.5714,157282.825,416869,13,421362,105340.5,207813.052,417054,190,417945,208972.5,294010.05,416869,1076,0,0,0,0,112,72,11.8662812,7.11976875,0,79,16.7777778,33.338333,1111.44444,1,2,0,2,7,0,0,0,0,18.875,14.4,26.3333333,0,0,0,0,0,0,0,9,0,9,14600,913,1,20,0,0,0,0,1.44E+15,186611.081,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
173.194.33.97-10.152.152.11-443-56254-6,173.194.33.97,443,10.152.152.11,56254,6,24/07/15 16:09,119682119,488,487,89259,314105,1460,0,182.907787,360.042956,1460,0,644.979466,647.036832,3370.29461,8.14658036,122876.919,822593.387,13485507,2,119642787,245673.074,1151351.52,13485507,5,119028043,244913.669,1155468.78,13522678,18,0,0,0,0,9760,9740,4.07746791,4.06911245,0,1460,413.282787,571.826981,326986.096,0,0,0,403,975,0,0,0,0,413.706667,182.907787,644.979466,0,0,0,0,44,9225,0,91,0,322,12108,9520,209,20,0,0,0,0,1.44E+15,31846302.8,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.216.142-57361-443-6,10.152.152.11,57361,216.58.216.142,443,6,24/07/15 16:09,116996934,369,378,208796,34340,1460,0,565.842818,598.927808,1460,0,90.8465608,180.94168,2078.13993,6.3847827,156832.351,733142.098,7800200,5,116996398,317924.995,1022458.74,7800456,31,116996466,310335.454,1008875.86,7800557,7,0,0,0,0,7380,7560,3.1539288,3.2308539,0,1460,327,501.355563,251357.4,0,0,0,307,747,0,0,0,1,327.437751,565.842818,90.8465608,0,0,0,0,25,4949,0,279,0,45,21142,8323,268,20,0,0,0,0,1.44E+15,36170281.8,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
74.125.28.189-10.152.152.11-443-44097-6,74.125.28.189,443,10.152.152.11,44097,6,24/07/15 16:09,100279453,61,60,14526,17870,996,0,238.131148,324.805505,1460,0,297.833333,479.241851,323.057207,1.20662804,835662.108,4003838.79,29069708,7,100279453,1671324.22,5562102.51,29069708,12,100240150,1698985.59,5612872.87,29109291,30,1,0,0,0,1220,1200,0.60830009,0.59832795,0,1460,269.516393,406.915839,165580.5,0,0,0,54,121,0,0,0,0,271.743802,238.131148,297.833333,0,0,0,0,11,4300,0,120,0,147,2640,3346,31,20,0,0,0,0,1.44E+15,33277897,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.127-34702-19305-6,10.152.152.11,34702,173.194.65.127,19305,6,24/07/15 16:10,119962833,3638,3157,254101,488658,190,0,69.8463441,53.9425837,1460,0,154.785556,214.935177,6191.57602,56.6425436,17657.1729,18742.9139,151388,9,119962833,32984.0069,24023.0108,151768,87,119940995,38004.1176,24494.2758,161775,61,0,0,0,0,72772,63152,30.3260594,26.3164842,0,1460,109.293555,157.513586,24810.5297,0,2,0,4425,6794,0,0,0,0,109.309639,69.8463441,154.785556,0,0,0,0,4427,6193,0,37,0,71,14600,5292,2775,20,0,0,0,0,1.44E+15,32982543,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.120-49132-443-6,10.152.152.11,49132,74.125.136.120,443,6,24/07/15 16:09,90513641,32,41,3369,21725,261,0,105.28125,110.554098,1460,0,529.878049,618.946209,277.23998,0.80650827,1257133.9,7451707.33,45055648,5,90513169,2919779.65,11242855.2,45056049,276,90513350,2262833.75,9937669.65,45056120,5,1,0,0,0,640,820,0.35353787,0.4529704,0,1460,342.635135,509.492968,259583.084,0,0,0,34,73,0,0,0,1,347.328767,105.28125,529.878049,0,0,0,0,45,56568,0,46,0,297,2640,1918,20,20,0,0,0,0,1.44E+15,12970217.9,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.33.105-34481-443-6,10.152.152.11,34481,173.194.33.105,443,6,24/07/15 16:10,106135081,30,30,22289,680,1460,0,742.966667,684.479892,186,0,22.6666667,46.0901166,216.412894,0.56531732,1798899.68,8368478.62,45039110,13,106134649,3659815.48,11748065.9,45039483,49,106134727,3659818.17,11747975.8,45039328,13,0,0,0,0,600,600,0.28265866,0.28265866,0,1460,400.47541,613.354944,376204.287,0,0,0,20,60,0,0,0,1,407.15,742.966667,22.6666667,0,0,0,0,14,11207,0,371,0,11,2640,2970,20,20,0,0,0,0,1.44E+15,31153375.7,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.188-50953-5228-6,10.152.152.11,50953,74.125.136.188,5228,6,24/07/15 16:09,90112487,3,3,0,0,0,0,0,0,0,0,0,0,0,0.06658345,18022497.4,24677726.2,45055666,392,90112018,45056009,69.2964646,45056058,45055960,90112045,45056022.5,159.099026,45056135,45055910,0,0,0,0,60,60,0.03329172,0.03329172,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2373,1315,0,20,0,0,0,0,1.44E+15,36787576.8,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.33.118-41313-443-6,10.152.152.11,41313,173.194.33.118,443,6,24/07/15 16:10,86022308,9,9,2879,1060,1460,0,319.888889,598.030401,498,0,117.777778,215.339719,45.7904478,0.20924805,5060135.76,14121174,45055326,16,86021950,10752743.8,19643165.8,45055941,45,86021693,10752711.6,19642968.8,45055851,16,0,0,0,0,180,180,0.10462402,0.10462402,0,1460,207.315789,438.512644,192293.339,0,0,0,6,18,0,0,0,1,218.833333,319.888889,117.777778,0,0,0,0,7,3848,0,159,0,58,14626,5386,4,20,0,0,0,0,1.44E+15,24283926.5,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
